#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,David James,POR,39,50,PORtsmouth,2010
2,Glen Johnson,DEF,25,22,Liverpool,2010
3,Ashley Cole,DEF,29,78,Chelsea,2010
4,Steven Gerrard,MED,30,80,Liverpool,2010
5,Michael Dawson3â€‹,DEF,26,0,Tottenham Hotspur,2010
6,John Terry,DEF,29,60,Chelsea,2010
7,Aaron Lennon,MED,23,17,Tottenham Hotspur,2010
8,Frank Lampard,MED,31,78,Chelsea,2010
9,Peter Crouch,DEL,29,38,Tottenham Hotspur,2010
10,Wayne Rooney,DEL,24,60,Manchester United,2010
11,Joe Cole,MED,28,54,Chelsea,2010
12,Robert Green,POR,30,10,West Ham United,2010
13,Stephen Warnock,DEF,28,1,Aston Villa,2010
14,Gareth Barry,MED,29,36,Manchester City,2010
15,Matthew Upson,DEF,31,19,West Ham United,2010
16,James Milner,MED,24,8,Aston Villa,2010
17,Shaun Wright-Phillips,MED,28,31,Manchester City,2010
18,Jamie Carragher,DEF,32,36,Liverpool,2010
19,Jermain DEFoe,DEL,27,39,Tottenham Hotspur,2010
20,Ledley King,DEF,29,20,Tottenham Hotspur,2010
21,Emile Heskey,DEL,32,58,Aston Villa,2010
22,Michael Carrick,MED,28,22,Manchester United,2010
23,Joe Hart,POR,23,3,Birmingham,2010
24,Fabio Capello,DT,,,,2010