portero,tirador,Resultado,no partido,tiro de
eiji kawashima,edgar barreto,1,183,PAR
eiji kawashima,lucas barrios,1,183,PAR
eiji kawashima,cristian riveros,1,183,PAR
eiji kawashima,nelson haedo,1,183,PAR
eiji kawashima,oscar cardozo,1,183,PAR
justo villar,yasuhito endo,1,183,JAP
justo villar,makoto hasebe,1,183,JAP
justo villar,yūichi komano,0,183,JAP
justo villar,keisuke honda,1,183,JAP
richard kingson,diego forlan,1,186,URU
richard kingson,mauricio victorino,1,186,URU
richard kingson,andres scotti,1,186,URU
richard kingson,maximiliano pereira,1,186,URU
richard kingson,sebastian abreu,1,186,URU
fernando muslera,asamoah gyan,1,186,GHA
fernando muslera,stephen appiah,1,186,GHA
fernando muslera,john mensah,0,186,GHA
fernando muslera,dominic adiyiah,0,186,GHA
orestis karnezis,celso borges,1,116,CRC
orestis karnezis,bryan ruiz,1,116,CRC
orestis karnezis,giancarlo gonzalez,1,116,CRC
orestis karnezis,joel campbell,1,116,CRC
orestis karnezis,michael umaña,1,116,CRC
keylor navas,kostas mitroglou,1,116,GRE
keylor navas,lazaros christodoulopoulos,1,116,GRE
keylor navas,jose holebas,1,116,GRE
keylor navas,theofanis gekas,0,116,GRE
keylor navas,robin van persie,1,124,NED
keylor navas,arjen robben,1,124,NED
keylor navas,wesley sneijder,1,124,NED
keylor navas,dirk kuyt,1,124,NED
tim krul,celso borges,1,124,CRC
tim krul,bryan ruiz,0,124,CRC
tim krul,giancarlo gonzalez,1,124,CRC
tim krul,christian bolaños,1,124,CRC
tim krul,michael umaña,0,124,CRC
jasper cillessen,lionel messi,1,126,ARG
jasper cillessen,ezequiel garay,1,126,ARG
jasper cillessen,sergio aguero,1,126,ARG
jasper cillessen,maximiliano rodriguez,1,126,ARG
sergio romero,ron vlaar,0,126,NED
sergio romero,arjen robben,1,126,NED
sergio romero,wesley sneijder,0,126,NED
sergio romero,dirk kuyt,0,126,NED
claudio bravo,david luiz,1,113,BRA
claudio bravo,willian,0,113,BRA
claudio bravo,marcelo,1,113,BRA
claudio bravo,hulk,0,113,BRA
claudio bravo,neymar jr,1,113,BRA
julio cesar,mauricio pinilla,0,113,CHI
julio cesar,alexis sanchez,0,113,CHI
julio cesar,charles aranguiz,1,113,CHI
julio cesar,marcelo diaz,1,113,CHI
julio cesar,gonzalo jara,0,113,CHI
david de gea,igor smolnikov,1,51,RUS
david de gea,serguei ignashevich,1,51,RUS
david de gea,aleksandr golovin,1,51,RUS
david de gea,denis cheryshev,1,51,RUS
igor akinfeyev,andres iniesta,1,51,SPA
igor akinfeyev,gerard pique,1,51,SPA
igor akinfeyev,koke,0,51,SPA
igor akinfeyev,sergio ramos,1,51,SPA
igor akinfeyev,iago aspas,0,51,SPA
david ospina,harry kane,1,56,ENG
david ospina,marcus rashford,1,56,ENG
david ospina,jordan henderson,0,56,ENG
david ospina,kieran trippier,1,56,ENG
david ospina,eric dier,1,56,ENG
jordan pickford,radamel falcao,1,56,COL
jordan pickford,juan guillermo cuadrado,1,56,COL
jordan pickford,luis muriel,1,56,COL
jordan pickford,mateus uribe,0,56,COL
jordan pickford,carlos bacca,0,56,COL
igor akinfeyev,marcelo brozović,1,60,CRO
igor akinfeyev,mateo kovačić,0,60,CRO
igor akinfeyev,luka modrić,1,60,CRO
igor akinfeyev,domagoj vida,1,60,CRO
igor akinfeyev,ivan rakitić,1,60,CRO
danijel subašić,igor smolnikov,0,60,RUS
danijel subašić,alan dzagoyev,1,60,RUS
danijel subašić,mario fernandes,0,60,RUS
danijel subašić,serguei ignashevich,1,60,RUS
danijel subašić,daler kuziayev,1,60,RUS
kasper schmeichel,milan badelj,0,52,CRO
kasper schmeichel,andrej kramarić,1,52,CRO
kasper schmeichel,luka modrić,1,52,CRO
kasper schmeichel,josip pivarić,0,52,CRO
kasper schmeichel,ivan rakitić,1,52,CRO
danijel subašić,christian eriksen,0,52,DEN
danijel subašić,simon kjær,1,52,DEN
danijel subašić,michael krohn-dehli,1,52,DEN
danijel subašić,lasse schone,0,52,DEN
danijel subašić,nicolai jørgensen,0,52,DEN