A̱o,Equipo,Partidos Jugados,Goles a favor,Goles en contra,Amarilla,Roja directa
2010,GER,7,16,5,11,0
2010,ALG,3,0,2,4,0
2010,ARG,5,10,6,7,0
2010,AUS,3,3,6,7,2
2010,BRA,5,9,4,7,1
2010,CAM,3,2,5,5,0
2010,CHI,4,3,5,13,0
2010,KPR,3,1,12,2,0
2010,SOK,4,6,8,6,0
2010,IVC,3,4,3,5,0
2010,DEN,3,3,6,6,0
2010,SLK,4,5,7,11,0
2010,SLN,3,3,3,9,0
2010,SPA,7,8,2,8,0
2010,USA,4,5,5,9,0
2010,FRA,3,1,4,6,1
2010,GHA,5,5,4,11,0
2010,GRE,3,2,5,5,0
2010,HON,3,0,3,7,0
2010,ENG,4,3,5,6,0
2010,ITA,3,4,5,5,0
2010,JAP,4,4,2,7,0
2010,MEX,4,4,5,9,0
2010,NGR,3,3,5,5,1
2010,NZL,3,2,2,6,0
2010,PAR,5,3,2,9,0
2010,NED,7,12,6,22,0
2010,POR,4,7,1,8,1
2010,SRB,3,2,3,8,0
2010,SOA,3,3,5,4,1
2010,SWZ,3,1,1,8,1
2010,URU,7,11,8,9,1
2014,URU,7,18,4,8,1
2014,GER,7,8,4,6,0
2014,BRA,7,15,4,14,0
2014,ARG,7,11,14,8,0
2014,NED,5,12,4,11,0
2014,BEL,5,6,3,7,0
2014,FRA,5,10,3,5,0
2014,CRC,5,5,2,12,1
2014,CHI,4,6,4,7,0
2014,CAM,4,5,3,4,1
2014,SWZ,4,7,7,3,0
2014,ALG,4,4,6,6,0
2014,GRE,4,3,5,8,1
2014,SOK,4,7,7,6,0
2014,USA,4,5,6,4,0
2014,NGR,4,3,5,3,0
2014,ECU,3,3,3,5,1
2014,POR,3,4,7,3,1
2014,CRO,3,6,6,4,1
2014,BOS,3,4,4,3,0
2014,IVC,3,4,5,7,0
2014,ITA,3,2,3,3,1
2014,MEX,3,4,7,8,0
2014,RUS,3,2,3,4,0
2014,GHA,3,4,6,6,0
2014,ENG,3,2,4,4,0
2014,SOK,3,3,6,6,0
2014,IRA,3,1,4,4,0
2014,JAP,3,2,6,4,0
2014,AUS,3,3,9,6,0
2014,HON,3,1,8,7,1
2014,SPA,3,1,9,3,0
2018,FRA,7,14,6,12,0
2018,CRO,7,14,9,15,0
2018,BEL,7,16,6,11,0
2018,ENG,7,12,8,8,0
2018,URU,5,7,3,3,0
2018,BRA,5,8,3,7,0
2018,SUE,5,6,4,8,0
2018,RUS,5,11,7,6,1
2018,COL,4,6,3,9,1
2018,SPA,4,7,6,2,0
2018,DEN,4,3,2,6,0
2018,MEX,4,3,6,9,0
2018,POR,4,6,6,7,0
2018,SWZ,4,5,5,9,1
2018,JAP,4,6,7,5,0
2018,ARG,4,6,9,11,0
2018,SEN,3,4,4,6,0
2018,IRA,3,2,2,7,0
2018,SOK,3,3,3,10,0
2018,PER,3,2,2,5,0
2018,NGR,3,3,4,4,0
2018,GER,3,2,4,2,1
2018,SRB,3,2,4,9,0
2018,TNZ,3,5,8,4,0
2018,POL,3,2,5,3,0
2018,ARA,3,2,7,1,0
2018,MAR,3,2,4,8,0
2018,ISL,3,2,5,3,0
2018,CRC,3,2,5,6,0
2018,AUS,3,2,5,7,0
2018,EGT,3,2,6,5,0
2018,PAN,3,2,11,11,0