id jugador,jugador,goles,partidos,promedio,seleccion,year
3,abdelmoumene djabou,2,3,0.7,ALG,2014
1743,admir mehmedi,1,4,0.2,SWZ,2014
180,adnan januzaj,1,1,1,BEL,2018
1194,ahmed musa,2,4,0.5,NGR,2014
1194,ahmed musa,2,3,0.7,NGR,2018
1676,aleksandar kolarov,1,3,0.3,SRB,2018
1678,aleksandar mitrović,1,3,0.3,SRB,2018
1430,aleksandr golovin,1,4,0.2,RUS,2018
1899,alexander kerzhakov,1,3,0.3,RUS,2014
1900,alexander kokorin,1,3,0.3,RUS,2014
332,alexis sanchez,2,4,0.5,CHI,2014
901,alfreð finnbogason,1,3,0.3,ISL,2018
1817,alvaro pereira,1,5,0.2,URU,2010
743,andre ayew,2,3,0.7,GHA,2014
1330,andre carrillo,1,3,0.3,PER,2018
690,andre schurrle,3,6,0.5,GER,2014
1720,andreas granqvist,2,5,0.4,SUE,2018
782,andreas samaris,1,2,0.5,GRE,2014
441,andrej kramarić,1,7,0.1,CRO,2018
1107,andres guardado,1,4,0.2,MEX,2014
1633,andres iniesta,2,6,0.3,SPA,2010
68,angel di maria,1,5,0.2,ARG,2014
68,angel di maria,1,3,0.3,ARG,2018
442,ante rebić,1,6,0.2,CRO,2018
637,antoine griezmann,4,7,0.6,FRA,2018
1304,antolin alcaraz,1,4,0.2,PAR,2010
932,antonio di natale,1,3,0.3,ITA,2010
1153,arjen robben,2,5,0.4,NED,2010
1153,arjen robben,3,7,0.4,NED,2014
692,arne friedrich,1,7,0.1,GER,2010
1437,artiom dziuba,3,5,0.6,RUS,2018
745,asamoah gyan,3,5,0.6,GHA,2010
745,asamoah gyan,2,3,0.7,GHA,2014
216,avdija vršajević,1,1,1,BOS,2014
640,benjamin pavard,1,6,0.2,FRA,2018
641,blaise matuidi,1,5,0.2,FRA,2014
1748,blerim džemaili,1,3,0.3,SWZ,2014
1748,blerim džemaili,1,4,0.2,SWZ,2018
1535,bongani khumalo,1,3,0.3,SOA,2010
131,brett holman,2,3,0.7,AUS,2010
406,bryan ruiz,2,5,0.4,CRC,2014
695,cacau,1,4,0.2,GER,2010
1634,carles puyol,1,7,0.1,SPA,2010
824,carlo costly,1,3,0.3,HON,2014
71,carlos tevez,2,4,0.5,ARG,2010
1111,carlos vela,1,4,0.2,MEX,2018
335,charles aranguiz,1,4,0.2,CHI,2014
478,christian eriksen,1,4,0.2,DEN,2018
936,claudio marchisio,1,3,0.3,ITA,2014
1867,clint dempsey,1,4,0.2,USA,2010
1867,clint dempsey,2,4,0.5,USA,2014
1308,cristian riveros,1,5,0.2,PAR,2010
1386,cristiano ronaldo,1,4,0.2,POR,2010
1386,cristiano ronaldo,1,3,0.3,POR,2014
1386,cristiano ronaldo,4,4,1,POR,2018
1112,cuauhtemoc blanco n. 1​,1,3,0.3,MEX,2010
1156,daley blind,1,7,0.1,NED,2014
576,daniel sturridge,1,3,0.3,ENG,2014
937,daniele de rossi,1,3,0.3,ITA,2010
244,david luiz,2,7,0.3,BRA,2014
1641,david villa,5,7,0.7,SPA,2010
1641,david villa,1,1,1,SPA,2014
581,dele alli,1,5,0.2,ENG,2018
1439,denis cheryshev,4,5,0.8,RUS,2018
482,dennis rommedahl,1,3,0.3,DEN,2010
975,didier drogba,1,3,0.3,IVC,2010
1642,diego costa,3,4,0.8,SPA,2018
1822,diego forlan,5,7,0.7,URU,2010
1823,diego godin,1,4,0.2,URU,2014
787,dimitris salpingidis,1,2,0.5,GRE,2010
1159,dirk kuyt,1,7,0.1,NED,2010
185,divock origi,1,5,0.2,BEL,2014
447,domagoj vida,1,6,0.2,CRO,2018
186,dries mertens,1,5,0.2,BEL,2014
186,dries mertens,1,6,0.2,BEL,2018
1795,dylan bronn,1,2,0.5,TNZ,2018
187,eden hazard,3,6,0.5,BEL,2018
217,edin džeko,1,3,0.3,BOS,2014
1827,edinson cavani,1,6,0.2,URU,2010
1827,edinson cavani,1,4,0.2,URU,2014
1827,edinson cavani,3,4,0.8,URU,2018
338,eduardo vargas,1,4,0.2,CHI,2014
249,elano,2,2,1,BRA,2010
1721,emil forsberg,1,5,0.2,SUE,2018
527,enner valencia,3,3,1,ECU,2014
1314,enrique vera,1,5,0.2,PAR,2010
940,fabio quagliarella,1,1,1,ITA,2010
1797,fakhreddine ben youssef,1,3,0.3,TNZ,2018
1287,felipe baloy,1,1,1,PAN,2018
1799,ferjani sassi,1,3,0.3,TNZ,2018
252,fernandinho,1,5,0.2,BRA,2014
1645,fernando torres,1,3,0.3,SPA,2014
648,florent malouda,1,3,0.3,FRA,2010
254,fred,1,6,0.2,BRA,2014
87,gabriel heinze,1,4,0.2,ARG,2010
88,gabriel mercado,1,3,0.3,ARG,2018
1755,gelson fernandes,1,3,0.3,SWZ,2010
1012,genki haraguchi,1,3,0.3,JAP,2018
1162,georginio wijnaldum,1,7,0.1,NED,2014
790,georgios samaras,1,4,0.2,GRE,2014
980,gervinho,2,3,0.7,IVC,2014
1119,giovani dos santos,1,4,0.2,MEX,2014
1163,giovanni van bronckhorst,1,7,0.1,NED,2010
90,gonzalo higuain,4,4,1,ARG,2010
90,gonzalo higuain,1,7,0.1,ARG,2014
1758,granit xhaka,1,4,0.2,SWZ,2014
1758,granit xhaka,1,4,0.2,SWZ,2018
1357,grzegorz krychowiak,1,3,0.3,POL,2018
910,gylfi sigurðsson,1,3,0.3,ISL,2018
1760,haris seferović,1,4,0.2,SWZ,2014
592,harry kane,6,6,1,ENG,2018
593,harry maguire,1,7,0.1,ENG,2018
1124,hirving lozano,1,4,0.2,MEX,2018
1397,hugo almeida,1,2,0.5,POR,2010
1647,iago aspas,1,3,0.3,SPA,2018
1649,isco,1,4,0.2,SPA,2018
18,islam slimani,2,4,0.5,ALG,2014
453,ivan perišić,2,3,0.7,CRO,2014
453,ivan perišić,3,7,0.4,CRO,2018
454,ivan rakitić,1,7,0.1,CRO,2018
456,ivica olić,1,3,0.3,CRO,2014
384,jackson martinez,2,3,0.7,COL,2014
385,james rodriguez,6,5,1.2,COL,2014
1360,jan bednarek,1,3,0.3,POL,2018
188,jan vertonghen,1,5,0.2,BEL,2014
188,jan vertonghen,1,6,0.2,BEL,2018
1130,javier hernandez,2,4,0.5,MEX,2010
1130,javier hernandez,1,4,0.2,MEX,2014
1130,javier hernandez,1,4,0.2,MEX,2018
349,jean beausejour,1,4,0.2,CHI,2010
349,jean beausejour,1,2,0.5,CHI,2014
599,jermain defoe,1,3,0.3,ENG,2010
1877,jermaine jones,1,4,0.2,USA,2014
600,jesse lingard,1,6,0.2,ENG,2018
1061,ji yun-nam,1,3,0.3,KPR,2010
418,joel campbell,1,5,0.2,CRC,2014
317,joel matip,1,2,0.5,CAM,2014
1878,john brooks,1,1,1,USA,2014
603,john stones,2,7,0.3,ENG,2018
490,jon dahl tomasson,1,2,0.5,DEN,2010
351,jorge valdivia,1,3,0.3,CHI,2014
1838,jose maria gimenez,1,4,0.2,URU,2018
1763,josip drmić,1,3,0.3,SWZ,2018
267,juan,1,5,0.2,BRA,2010
391,juan fernando quintero,1,3,0.3,COL,2014
391,juan fernando quintero,1,4,0.2,COL,2018
392,juan guillermo cuadrado,1,5,0.2,COL,2014
392,juan guillermo cuadrado,1,4,0.2,COL,2018
1654,juan mata,1,1,1,SPA,2014
1882,julian green,1,1,1,USA,2014
1224,kalu uche,2,3,0.7,NGR,2010
1485,kamil kopunek,1,2,0.5,SLK,2010
877,karim ansarifard,1,3,0.3,IRA,2018
655,karim benzema,3,5,0.6,FRA,2014
1545,katlego mphela,1,3,0.3,SOA,2010
1019,keisuke honda,2,4,0.5,JAP,2010
1019,keisuke honda,1,3,0.3,JAP,2014
1019,keisuke honda,1,3,0.3,JAP,2018
424,kendall waston,1,1,1,CRC,2018
189,kevin de bruyne,1,4,0.2,BEL,2014
189,kevin de bruyne,1,6,0.2,BEL,2018
762,kevin prince boateng,1,5,0.2,GHA,2010
1089,khalid boutaib,1,2,0.5,MAR,2018
607,kieran trippier,1,6,0.2,ENG,2018
1604,kim young-gwon,1,3,0.3,SOK,2018
1174,klaas-jan huntelaar,1,4,0.2,NED,2010
1174,klaas-jan huntelaar,1,3,0.3,NED,2014
1606,koo ja-cheol,1,3,0.3,SOK,2014
656,kylian mbappe,4,7,0.6,FRA,2018
1885,landon donovan,3,4,0.8,USA,2010
1609,lee chung-yong,2,4,0.5,SOK,2010
1612,lee jung-soo,2,4,0.5,SOK,2010
1613,lee keun-ho,1,3,0.3,SOK,2014
1175,leroy fer,1,1,1,NED,2014
1402,liedson,1,3,0.3,POR,2010
98,lionel messi,4,7,0.6,ARG,2014
98,lionel messi,1,4,0.2,ARG,2018
1731,ludwig augustinsson,1,5,0.2,SUE,2018
273,luis fabiano,3,5,0.6,BRA,2010
1841,luis suarez,3,6,0.5,URU,2010
1841,luis suarez,2,2,1,URU,2014
1841,luis suarez,2,5,0.4,URU,2018
459,luka modrić,2,7,0.3,CRO,2018
711,lukas podolski,2,6,0.3,GER,2010
1468,m'baye niang,1,3,0.3,SEN,2018
277,maicon,1,5,0.2,BRA,2010
714,marcell jansen,1,4,0.2,GER,2010
715,marco reus,1,3,0.3,GER,2018
428,marco ureña,1,4,0.2,CRC,2014
101,marcos rojo,1,6,0.2,ARG,2014
101,marcos rojo,1,3,0.3,ARG,2018
954,mario balotelli,1,3,0.3,ITA,2014
1444,mario fernandes,1,5,0.2,RUS,2018
717,mario gotze,2,6,0.3,GER,2014
461,mario mandžukić,2,2,1,CRO,2014
461,mario mandžukić,3,6,0.5,CRO,2018
358,mark gonzalez,1,4,0.2,CHI,2010
1697,marko pantelić,1,2,0.5,SRB,2010
195,marouane fellaini,1,5,0.2,BEL,2014
195,marouane fellaini,1,5,0.2,BEL,2018
104,martin demichelis,1,5,0.2,ARG,2010
105,martin palermo,1,1,1,ARG,2010
500,mathias jørgensen,1,3,0.3,DEN,2018
664,mathieu valbuena,1,4,0.2,FRA,2014
720,mats hummels,2,6,0.3,GER,2014
613,matthew upson,1,2,0.5,ENG,2010
1848,maximiliano pereira,1,7,0.1,URU,2010
1179,memphis depay,2,4,0.5,NED,2014
722,mesut ozil,1,7,0.1,GER,2010
722,mesut ozil,1,7,0.1,GER,2014
1888,michael bradley,1,4,0.2,USA,2010
196,michy batshuayi,1,3,0.3,BEL,2018
464,milan badelj,1,3,0.3,CRO,2018
1698,milan jovanović,1,3,0.3,SRB,2010
164,mile jedinak,1,3,0.3,AUS,2014
164,mile jedinak,2,3,0.7,AUS,2018
225,miralem pjanić,1,3,0.3,BOS,2014
723,miroslav klose,4,5,0.8,GER,2010
723,miroslav klose,2,5,0.4,GER,2014
560,mohamed salah,2,2,1,EGT,2018
667,moussa sissoko,1,4,0.2,FRA,2014
1472,moussa wague,1,3,0.3,SEN,2018
198,nacer chadli,1,6,0.2,BEL,2018
1661,nacho monreal,1,2,0.5,SPA,2018
1407,nani,1,3,0.3,POR,2014
282,neymar jr,4,5,0.8,BRA,2014
282,neymar jr,2,5,0.4,BRA,2018
504,nicklas bendtner,1,3,0.3,DEN,2010
1736,ola toivonen,1,5,0.2,SUE,2018
671,olivier giroud,1,5,0.2,FRA,2014
1144,oribe peralta,1,4,0.2,MEX,2014
284,oscar,2,7,0.3,BRA,2014
431,oscar duarte,1,4,0.2,CRC,2014
398,pablo armero,1,5,0.2,COL,2014
1342,paolo guerrero,1,3,0.3,PER,2018
1622,park chu-young,1,4,0.2,SOK,2010
1623,park ji-sung,1,4,0.2,SOK,2010
674,paul pogba,1,5,0.2,FRA,2014
674,paul pogba,1,6,0.2,FRA,2018
285,paulinho,1,5,0.2,BRA,2018
1412,pepe,1,4,0.2,POR,2018
1238,peter odemwingie,1,4,0.2,NGR,2014
287,philippe coutinho,2,5,0.4,BRA,2018
399,radamel falcao,1,4,0.2,COL,2018
1148,rafael marquez,1,4,0.2,MEX,2010
1148,rafael marquez,1,4,0.2,MEX,2014
32,rafik halliche,1,4,0.2,ALG,2014
676,raphael varane,1,7,0.1,FRA,2018
1415,raul meireles,1,4,0.2,POR,2010
289,renato augusto,1,3,0.3,BRA,2018
892,reza ghoochannejhad,1,3,0.3,IRA,2014
1419,ricardo quaresma,1,3,0.3,POR,2018
1517,robert koren,1,3,0.3,SLN,2010
1496,robert vittek,4,4,1,SLK,2010
290,roberto firmino,1,4,0.2,BRA,2018
1184,robin van persie,1,7,0.1,NED,2010
1184,robin van persie,4,6,0.7,NED,2014
291,robinho,2,4,0.5,BRA,2010
365,rodrigo millar,1,3,0.3,CHI,2010
990,romaric,1,3,0.3,IVC,2010
201,romelu lukaku,1,4,0.2,BEL,2014
201,romelu lukaku,4,6,0.7,BEL,2018
1473,sadio mane,1,3,0.3,SEN,2018
60,salem al-dawsari,1,3,0.3,ARA,2018
61,salman al-faraj,1,3,0.3,ARA,2018
992,salomon kalou,1,3,0.3,IVC,2010
730,sami khedira,1,7,0.1,GER,2010
730,sami khedira,1,5,0.2,GER,2014
326,samuel eto'o,2,3,0.7,CAM,2010
679,samuel umtiti,1,6,0.2,FRA,2018
116,sergio aguero,2,4,0.5,ARG,2018
1273,shane smeltz,1,3,0.3,NZL,2010
1033,shinji kagawa,1,3,0.3,JAP,2018
1034,shinji okazaki,1,4,0.2,JAP,2010
1034,shinji okazaki,1,3,0.3,JAP,2014
1424,silvestre varela,1,2,0.5,POR,2014
1425,simão,1,4,0.2,POR,2010
1559,siphiwe tshabalala,1,3,0.3,SOA,2010
38,sofiane feghouli,1,4,0.2,ALG,2014
812,sokratis papastathopoulos,1,4,0.2,GRE,2014
1627,son heung-min,1,3,0.3,SOK,2014
1627,son heung-min,2,3,0.7,SOK,2018
1188,stefan de vrij,1,7,0.1,NED,2014
628,steven gerrard,1,4,0.2,ENG,2010
1782,steven zuber,1,3,0.3,SWZ,2018
778,sulley muntari,1,4,0.2,GHA,2010
1038,takashi inui,2,4,0.5,JAP,2018
401,teofilo gutierrez,1,4,0.2,COL,2014
293,thiago silva,1,6,0.2,BRA,2014
293,thiago silva,1,5,0.2,BRA,2018
206,thomas meunier,1,5,0.2,BEL,2018
735,thomas muller,5,6,0.8,GER,2010
735,thomas muller,5,7,0.7,GER,2014
1426,tiago,2,4,0.5,POR,2010
174,tim cahill,1,2,0.5,AUS,2010
174,tim cahill,2,2,1,AUS,2014
738,toni kroos,2,7,0.3,GER,2014
738,toni kroos,1,3,0.3,GER,2018
1521,valter birsa,1,3,0.3,SLN,2010
819,vasilis torosidis,1,3,0.3,GRE,2010
235,vedad ibišević,1,3,0.3,BOS,2014
1249,victor moses,1,3,0.3,NGR,2018
965,vincenzo iaquinta,1,3,0.3,ITA,2010
1811,wahbi khazri,2,3,0.7,TNZ,2018
630,wayne rooney,1,3,0.3,ENG,2014
1192,wesley sneijder,5,7,0.7,NED,2010
1192,wesley sneijder,1,6,0.2,NED,2014
1002,wilfried bony,2,3,0.7,IVC,2014
1278,winston reid,1,3,0.3,NZL,2010
1673,xabi alonso,1,3,0.3,SPA,2014
1787,xherdan shaqiri,3,4,0.8,SWZ,2014
1787,xherdan shaqiri,1,4,0.2,SWZ,2018
40,yacine brahimi,1,3,0.3,ALG,2014
1254,yakubu aiyegbeni,1,3,0.3,NGR,2010
1045,yasuhito endo,1,4,0.2,JAP,2010
1003,yaya toure,1,3,0.3,IVC,2010
404,yerry mina,3,3,1,COL,2018
1102,youssef en-nesyri,1,1,1,MAR,2018
1451,yuri gazinski,1,4,0.2,RUS,2018
519,yussuf poulsen,1,3,0.3,DEN,2018
1054,yuya osako,1,4,0.2,JAP,2018
1522,zlatan ljubijankič,1,3,0.3,SLN,2010