id,Nombre,Seleccion
966,abdul kader keita,IVC
967,aristide zogbo,IVC
968,arthur boka,IVC
969,aruna dindane,IVC
970,benjamin angoua,IVC
971,boubacar barry,IVC
972,cheick tiote,IVC
973,constant djakpa,IVC
974,daniel yeboah,IVC
975,didier drogba,IVC
976,didier ya konan,IVC
977,didier zokora,IVC
978,emmanuel eboue,IVC
979,emmanuel kone,IVC
980,gervinho,IVC
981,giovanni sio,IVC
982,guy demel,IVC
983,ismael diomande,IVC
984,jean-daniel akpa-akpro,IVC
985,jean-jacques gosso,IVC
986,kolo toure,IVC
987,mathis bolly,IVC
988,max gradel,IVC
989,ousmane diarrassouba,IVC
990,romaric,IVC
991,sabri lamouchi,IVC
992,salomon kalou,IVC
993,sayouba mande,IVC
994,serey die,IVC
995,serge aurier,IVC
996,seydou doumbia,IVC
997,siaka tiene,IVC
998,souleymane bamba,IVC
999,steve gohouri,IVC
1000,sven-goran eriksson,IVC
1001,sylvain gbohouo,IVC
1002,wilfried bony,IVC
1003,yaya toure,IVC
1004,akira nishino,JAP
1005,alberto zaccheroni,JAP
1006,atsuto uchida,JAP
1007,daiki iwamasa,JAP
1008,daisuke matsui,JAP
1009,eiji kawashima,JAP
1010,gaku shibasaki,JAP
1011,gen shoji,JAP
1012,genki haraguchi,JAP
1013,gotoku sakai,JAP
1014,hiroki sakai,JAP
1015,hiroshi kiyotake,JAP
1016,hotaru yamaguchi,JAP
1017,jun'ichi inamoto,JAP
1018,keiji tamada,JAP
1019,keisuke honda,JAP
1020,kengo nakamura,JAP
1021,kisho yano,JAP
1022,kosuke nakamura,JAP
1023,makoto hasebe,JAP
1024,manabu saito,JAP
1025,marcus tulio tanaka,JAP
1026,masaaki higashiguchi,JAP
1027,masahiko inoha,JAP
1028,masato morishige,JAP
1029,maya yoshida,JAP
1030,naomichi ueda,JAP
1031,ryota oshima,JAP
1032,seigo narazaki,JAP
1033,shinji kagawa,JAP
1034,shinji okazaki,JAP
1035,shuichi gonda,JAP
1036,shunsuke nakamura,JAP
1037,shusaku nishikawa,JAP
1038,takashi inui,JAP
1039,takashi usami,JAP
1040,takayuki morimoto,JAP
1041,takeshi okada,JAP
1042,tomoaki makino,JAP
1043,toshihiro aoyama,JAP
1044,wataru endo,JAP
1045,yasuhito endo,JAP
1046,yasuyuki konno,JAP
1047,yoichiro kakitani,JAP
1048,yoshikatsu kawaguchi,JAP
1049,yoshinori muto,JAP
1050,yoshito okubo,JAP
1051,yuji nakazawa,JAP
1052,yuki abe,JAP
1053,yuto nagatomo,JAP
1054,yuya osako,JAP
1055,yūichi komano,JAP
1056,ahn young-hak,KPR
1057,an chol-hyok,KPR
1058,cha jong-hyok,KPR
1059,choe kum-chol,KPR
1060,hong yong-jo,KPR
1061,ji yun-nam,KPR
1062,jong tae-se,KPR
1063,kim jong-hun,KPR
1064,kim kum-il,KPR
1065,kim kyong-il,KPR
1066,kim myong-gil,KPR
1067,kim myong-won,KPR
1068,kim yong-jun,KPR
1069,mun in-guk,KPR
1070,nam song-chol,KPR
1071,pak chol-jin,KPR
1072,pak nam-chol,KPR
1073,pak sung-hyok,KPR
1074,ri chol-myong,KPR
1075,ri jun-il,KPR
1076,ri kwang-chon,KPR
1077,ri kwang-hyok,KPR
1078,ri myong-guk,KPR
1079,achraf hakimi,MAR
1080,ahmed reda tagnaouti,MAR
1081,amine harit,MAR
1082,ayoub el kaabi,MAR
1083,aziz bouhaddouz,MAR
1084,fayçal fajr,MAR
1085,hakim ziyech,MAR
1086,hamza mendyl,MAR
1087,herve renard,MAR
1088,karim el ahmadi,MAR
1089,khalid boutaib,MAR
1090,manuel da costa,MAR
1091,mbark boussoufa,MAR
1092,mehdi benatia,MAR
1093,mehdi carcela-gonzalez,MAR
1094,munir mohamedi,MAR
1095,nabil dirar,MAR
1096,nordin amrabat,MAR
1097,romain saiss,MAR
1098,sofyan amrabat,MAR
1099,yassine bounou,MAR
1100,younès belhanda,MAR
1101,youssef ait bennasser,MAR
1102,youssef en-nesyri,MAR
1103,adolfo bautista,MEX
1104,alan pulido,MEX
1105,alberto medina,MEX
1106,alfredo talavera,MEX
1107,andres guardado,MEX
1108,carlos peña,MEX
1109,carlos salcedo,MEX
1110,carlos salcido,MEX
1111,carlos vela,MEX
1112,cuauhtemoc blanco n. 1​,MEX
1113,diego reyes,MEX
1114,edson alvarez,MEX
1115,efrain juarez,MEX
1116,erick gutierrez,MEX
1117,francisco rodriguez,MEX
1118,gerardo torrado n. 1​,MEX
1119,giovani dos santos,MEX
1120,guillermo franco,MEX
1121,guillermo ochoa,MEX
1122,hector herrera,MEX
1123,hector moreno,MEX
1124,hirving lozano,MEX
1125,hugo ayala,MEX
1126,isaac brizuela,MEX
1127,israel castro,MEX
1128,javier aguirre,MEX
1129,javier aquino,MEX
1130,javier hernandez,MEX
1131,jesus gallardo,MEX
1132,jesus manuel corona,MEX
1133,jonathan dos santos,MEX
1134,jonny magallon,MEX
1135,jorge torres nilo,MEX
1136,jose de jesus corona,MEX
1137,jose juan vazquez,MEX
1138,juan carlos osorio,MEX
1139,luis ernesto michel,MEX
1140,marco fabian,MEX
1141,miguel angel ponce1,MEX
1142,miguel herrera,MEX
1143,miguel layun,MEX
1144,oribe peralta,MEX
1145,oscar perez,MEX
1146,pablo barrera,MEX
1147,paul aguilar,MEX
1148,rafael marquez,MEX
1149,rafael marquez​,MEX
1150,raul jimenez,MEX
1151,ricardo osorio,MEX
1152,andre ooijer,NED
1153,arjen robben,NED
1154,bert van marwijk,NED
1155,bruno martins indi,NED
1156,daley blind,NED
1157,daryl janmaat,NED
1158,demy de zeeuw,NED
1159,dirk kuyt,NED
1160,edson braafheid,NED
1161,eljero elia,NED
1162,georginio wijnaldum,NED
1163,giovanni van bronckhorst,NED
1164,gregory van der wiel,NED
1165,ibrahim afellay,NED
1166,jasper cillessen,NED
1167,jeremain lens,NED
1168,joel veltman,NED
1169,john heitinga,NED
1170,jonathan de guzman,NED
1171,jordy clasie,NED
1172,joris mathijsen,NED
1173,khalid boulahrouz,NED
1174,klaas-jan huntelaar,NED
1175,leroy fer,NED
1176,louis van gaal,NED
1177,maarten stekelenburg,NED
1178,mark van bommel,NED
1179,memphis depay,NED
1180,michel vorm,NED
1181,nigel de jong,NED
1182,paul verhaegh,NED
1183,rafael van der vaart,NED
1184,robin van persie,NED
1185,ron vlaar,NED
1186,ryan babel,NED
1187,sander boschker,NED
1188,stefan de vrij,NED
1189,stijn schaars,NED
1190,terence kongolo,NED
1191,tim krul,NED
1192,wesley sneijder,NED
1193,abdullahi shehu,NGR
1194,ahmed musa,NGR
1195,alex iwobi,NGR
1196,austin ejide,NGR
1197,ayila yussuf,NGR
1198,azubuike egwuekwe,NGR
1199,brian idowu,NGR
1200,brown ideye,NGR
1201,chidi odiah,NGR
1202,chidozie awaziem,NGR
1203,chigozie agbim,NGR
1204,chinedu ogbuke obasi,NGR
1205,daniel akpeyi,NGR
1206,danny shittu,NGR
1207,dele adeleye,NGR
1208,dele aiyenugba,NGR
1209,dickson etuhu,NGR
1210,efe ambrose,NGR
1211,ejike uzoenyi 1,NGR
1212,elderson echiejile,NGR
1213,emmanuel emenike,NGR
1214,francis uzoho,NGR
1215,gernot rohr,NGR
1216,godfrey oboabona,NGR
1217,ikechukwu ezenwa,NGR
1218,joel obi,NGR
1219,john obi mikel,NGR
1220,john ogu,NGR
1221,john utaka,NGR
1222,joseph yobo,NGR
1223,juwon oshaniwa,NGR
1224,kalu uche,NGR
1225,kelechi iheanacho,NGR
1226,kenneth omeruo,NGR
1227,kunle odunlami,NGR
1228,lars lagerback,NGR
1229,leon balogun,NGR
1230,lukman haruna,NGR
1231,michael uchebo,NGR
1232,michel babatunde,NGR
1233,nwankwo kanu,NGR
1234,obafemi martins,NGR
1235,odion ighalo,NGR
1236,ogenyi onazi,NGR
1237,oghenekaro etebo,NGR
1238,peter odemwingie,NGR
1239,rabiu afolabi,NGR
1240,ramon azeez,NGR
1241,reuben gabriel,NGR
1242,sani kaita,NGR
1243,shola ameobi,NGR
1244,simeon nwankwo,NGR
1245,stephen keshi,NGR
1246,taye taiwo,NGR
1247,tyronne ebuehi,NGR
1248,uche nwofor,NGR
1249,victor moses,NGR
1250,victor obinna,NGR
1251,vincent enyeama,NGR
1252,wilfred ndidi,NGR
1253,william troost-ekong,NGR
1254,yakubu aiyegbeni,NGR
1255,aaron clapham,NZL
1256,andrew boyens,NZL
1257,andy barron,NZL
1258,ben sigmund,NZL
1259,chris killen,NZL
1260,chris wood,NZL
1261,david mulligan,NZL
1262,glen moss,NZL
1263,ivan vicelich,NZL
1264,james bannatyne,NZL
1265,jeremy brockie,NZL
1266,jeremy christie,NZL
1267,leo bertos,NZL
1268,mark paston,NZL
1269,michael mcglinchey,NZL
1270,ricki herbert,NZL
1271,rory fallon,NZL
1272,ryan nelsen,NZL
1273,shane smeltz,NZL
1274,simon elliott,NZL
1275,tim brown,NZL
1276,tommy smith,NZL
1277,tony lochhead,NZL
1278,winston reid,NZL
1279,abdiel arroyo,PAN
1280,adolfo machado,PAN
1281,alex rodriguez,PAN
1282,anibal godoy,PAN
1283,armando cooper,PAN
1284,blas perez,PAN
1285,edgar barcenas,PAN
1286,erick davis,PAN
1287,felipe baloy,PAN
1288,fidel escobar,PAN
1289,gabriel gomez,PAN
1290,gabriel torres,PAN
1291,harold cummings,PAN
1292,hernan dario gomez,PAN
1293,ismael diaz,PAN
1294,jaime penedo,PAN
1295,jose calderon,PAN
1296,jose luis rodriguez,PAN
1297,luis ovalle,PAN
1298,luis tejada,PAN
1299,michael amir murillo,PAN
1300,ricardo avila,PAN
1301,roman torres,PAN
1302,valentin pimentel,PAN
1303,aldo bobadilla,PAR
1304,antolin alcaraz,PAR
1305,aureliano torres,PAR
1306,carlos bonet,PAR
1307,claudio morel,PAR
1308,cristian riveros,PAR
1309,dario veron,PAR
1310,denis caniza  1°,PAR
1311,diego barreto,PAR
1312,edgar barreto,PAR
1313,edgar benitez,PAR
1314,enrique vera,PAR
1315,gerardo martino,PAR
1316,jonathan santana,PAR
1317,julio caceres,PAR
1318,justo villar  2° n. 1​,PAR
1319,lucas barrios,PAR
1320,nelson haedo,PAR
1321,nestor ortigoza,PAR
1322,oscar cardozo,PAR
1323,paulo da silva,PAR
1324,rodolfo gamarra,PAR
1325,roque santa cruz,PAR
1326,victor caceres,PAR
1327,alberto rodriguez,PER
1328,aldo corzo,PER
1329,anderson santamaria,PER
1330,andre carrillo,PER
1331,andy polo,PER
1332,carlos caceda,PER
1333,christian cueva,PER
1334,christian ramos,PER
1335,edison flores,PER
1336,jefferson farfan,PER
1337,jose carvallo,PER
1338,luis advincula,PER
1339,miguel araujo,PER
1340,miguel trauco,PER
1341,nilson loyola,PER
1342,paolo guerrero,PER
1343,paolo hurtado,PER
1344,pedro aquino,PER
1345,pedro gallese,PER
1346,raul ruidiaz,PER
1347,renato tapia,PER
1348,ricardo gareca,PER
1349,wilder cartagena,PER
1350,yoshimar yotun,PER
1351,adam nawałka,POL
1352,arkadiusz milik,POL
1353,artur jędrzejczyk,POL
1354,bartosz bereszyński,POL
1355,bartosz białkowski,POL
1356,dawid kownacki,POL
1357,grzegorz krychowiak,POL
1358,jacek goralski,POL
1359,jakub błaszczykowski,POL
1360,jan bednarek,POL
1361,kamil glik,POL
1362,kamil grosicki,POL
1363,karol linetty,POL
1364,maciej rybus,POL
1365,michał pazdan,POL
1366,piotr zieliński,POL
1367,rafał kurzawa,POL
1368,robert lewandowski,POL
1369,sławomir peszko,POL
1370,thiago cionek,POL
1371,wojciech szczęsny,POL
1372,łukasz fabiański,POL
1373,łukasz piszczek,POL
1374,łukasz teodorczyk,POL
1375,adrien silva,POR
1376,andre almeida,POR
1377,andre silva,POR
1378,anthony lopes,POR
1379,bebe,POR
1380,bernardo silva,POR
1381,beto,POR
1382,bruno alves,POR
1383,bruno fernandes,POR
1384,carlos queiroz,POR
1385,cedric soares,POR
1386,cristiano ronaldo,POR
1387,daniel fernandes,POR
1388,danny,POR
1389,deco,POR
1390,duda,POR
1391,eder,POR
1392,eduardo,POR
1393,fabio coentrão,POR
1394,fernando santos,POR
1395,gelson martins,POR
1396,gonçalo guedes,POR
1397,hugo almeida,POR
1398,jose fonte,POR
1399,joão mario,POR
1400,joão moutinho,POR
1401,joão pereira,POR
1402,liedson,POR
1403,manuel fernandes,POR
1404,mario rui,POR
1405,miguel,POR
1406,miguel veloso,POR
1407,nani,POR
1408,neto,POR
1409,paulo bento,POR
1410,paulo ferreira,POR
1411,pedro mendes,POR
1412,pepe,POR
1413,rafa,POR
1414,raphael guerreiro,POR
1415,raul meireles,POR
1416,ricardo carvalho,POR
1417,ricardo costa,POR
1418,ricardo pereira,POR
1419,ricardo quaresma,POR
1420,rolando,POR
1421,ruben amorim,POR
1422,ruben dias,POR
1423,rui patricio,POR
1424,silvestre varela,POR
1425,simão,POR
1426,tiago,POR
1427,vieirinha,POR
1428,william carvalho,POR
1429,alan dzagoyev,RUS
1430,aleksandr golovin,RUS
1431,aleksandr samedov,RUS
1432,aleksandr yerojin,RUS
1433,aleksei miranchuk,RUS
1434,andrei lunev,RUS
1435,andrei semionov,RUS
1436,anton miranchuk,RUS
1437,artiom dziuba,RUS
1438,daler kuziayev,RUS
1439,denis cheryshev,RUS
1440,fiodor kudriashov,RUS
1441,igor akinfeyev,RUS
1442,igor smolnikov,RUS
1443,ilia kutepov,RUS
1444,mario fernandes,RUS
1445,ramiro lopez,RUS
1446,roman zobnin,RUS
1447,serguei ignashevich,RUS
1448,stanislav cherchesov,RUS
1449,vladimir gabulov,RUS
1450,vladimir granat,RUS
1451,yuri gazinski,RUS
1452,yuri zhirkov,RUS
1453,abdoulaye diallo,SEN
1454,alfred gomis,SEN
1455,alfred n'diaye,SEN
1456,aliou cisse,SEN
1457,badou ndiaye,SEN
1458,cheikh n'doye,SEN
1459,cheikhou kouyate,SEN
1460,diafra sakho,SEN
1461,idrissa gueye,SEN
1462,ismaila sarr,SEN
1463,kalidou koulibaly,SEN
1464,kara mbodji,SEN
1465,keita balde,SEN
1466,khadim n'diaye,SEN
1467,lamine gassama,SEN
1468,m'baye niang,SEN
1469,mame biram diouf,SEN
1470,moussa konate,SEN
1471,moussa sow,SEN
1472,moussa wague,SEN
1473,sadio mane,SEN
1474,salif sane,SEN
1475,saliou ciss,SEN
1476,youssouf sabaly,SEN
1477,dušan kuciak,SLK
1478,dušan perniš,SLK
1479,erik jendrišek,SLK
1480,filip hološko,SLK
1481,jan kozak,SLK
1482,jan mucha,SLK
1483,jan ďurica,SLK
1484,juraj kucka,SLK
1485,kamil kopunek,SLK
1486,kornel salata,SLK
1487,marek hamšik,SLK
1488,marek sapara,SLK
1489,marek čech,SLK
1490,martin jakubko,SLK
1491,martin petraš,SLK
1492,martin škrtel,SLK
1493,miroslav stoch,SLK
1494,peter pekarik,SLK
1495,radoslav zabavnik,SLK
1496,robert vittek,SLK
1497,stanislav šestak,SLK
1498,vladimir weiss,SLK
1499,zdeno štrba,SLK
1500,aleksandar radosavljevič,SLN
1501,aleksander šeliga,SLN
1502,andraž kirm,SLN
1503,andrej komac,SLN
1504,bojan jokić,SLN
1505,boštjan cesar,SLN
1506,branko ilič,SLN
1507,dalibor stevanovič,SLN
1508,elvedin džinič,SLN
1509,jasmin handanovič,SLN
1510,marko šuler,SLN
1511,matej mavrič,SLN
1512,matjaž kek,SLN
1513,milivoje novakovič,SLN
1514,mišo brečko,SLN
1515,nejc pečnik,SLN
1516,rene krhin,SLN
1517,robert koren,SLN
1518,samir handanovič,SLN
1519,suad filekovič,SLN
1520,tim matavž,SLN
1521,valter birsa,SLN
1522,zlatan ljubijankič,SLN
1523,zlatko dedič,SLN
1524,aaron mokoena,SOA
1525,alan dzagoyev,SOA
1526,aleksandr kerzhakov,SOA
1527,aleksandr kokorin,SOA
1528,aleksandr samedov,SOA
1529,aleksei ionov,SOA
1530,aleksei kozlov,SOA
1531,andrei semionov,SOA
1532,andrei yeschenko,SOA
1533,anele ngcongca,SOA
1534,bernard parker,SOA
1535,bongani khumalo,SOA
1536,carlos alberto parreira,SOA
1537,denis glushakov,SOA
1538,dmitri kombarov,SOA
1539,fabio capello,SOA
1540,gueorgui schennikov,SOA
1541,igor akinfeyev,SOA
1542,igor denisov,SOA
1543,itumeleng khune,SOA
1544,kagiso dikgacoi,SOA
1545,katlego mphela,SOA
1546,lance davids,SOA
1547,lucas thwala,SOA
1548,macbeth sibaya,SOA
1549,maksim kaninnikov,SOA
1550,matthew booth,SOA
1551,moneeb josephs,SOA
1552,oleg shatov,SOA
1553,pavel moguilevets1,SOA
1554,reneilwe letsholonyane,SOA
1555,serguei ignashevich,SOA
1556,serguei ryzhikov,SOA
1557,shu-aib walters,SOA
1558,siboniso gaxa,SOA
1559,siphiwe tshabalala,SOA
1560,siyabonga nomvethe,SOA
1561,siyabonga sangweni,SOA
1562,steven pienaar,SOA
1563,surprise moriri,SOA
1564,teko modise,SOA
1565,thanduyise khuboni,SOA
1566,tsepo masilela,SOA
1567,vasili berezutski,SOA
1568,viktor faizulin,SOA
1569,vladimir granat,SOA
1570,yuri lodyguin,SOA
1571,yuri zhirkov,SOA
1572,ahn jung-hwan,SOK
1573,cha du-ri,SOK
1574,cho hyun-woo,SOK
1575,cho yong-hyung,SOK
1576,go yo-han,SOK
1577,ha dae-sung,SOK
1578,han kook-young,SOK
1579,hong chul,SOK
1580,hong jeong-ho,SOK
1581,hong myung-bo,SOK
1582,huh jung-moo,SOK
1583,hwang hee-chan,SOK
1584,hwang seok-ho,SOK
1585,jang hyun-soo,SOK
1586,ji dong-won,SOK
1587,ju se-jong,SOK
1588,jung seung-hyun,SOK
1589,jung sung-ryong,SOK
1590,jung woo-young,SOK
1591,kang min-soo,SOK
1592,ki sung-yueng,SOK
1593,kim bo-kyung,SOK
1594,kim chang-soo,SOK
1595,kim dong-jin,SOK
1596,kim hyung-il,SOK
1597,kim jae-sung,SOK
1598,kim jin-hyeon,SOK
1599,kim jung-woo,SOK
1600,kim min-woo,SOK
1601,kim nam-il,SOK
1602,kim seung-gyu,SOK
1603,kim shin-wook,SOK
1604,kim young-gwon,SOK
1605,kim young-kwang,SOK
1606,koo ja-cheol,SOK
1607,kwak tae-hwi,SOK
1608,lee bum-young,SOK
1609,lee chung-yong,SOK
1610,lee dong-gook,SOK
1611,lee jae-sung,SOK
1612,lee jung-soo,SOK
1613,lee keun-ho,SOK
1614,lee seung-woo,SOK
1615,lee seung-yeoul,SOK
1616,lee woon-jae,SOK
1617,lee yong,SOK
1618,lee young-pyo,SOK
1619,moon seon-min,SOK
1620,oh ban-suk,SOK
1621,oh beom-seok,SOK
1622,park chu-young,SOK
1623,park ji-sung,SOK
1624,park jong-woo,SOK
1625,park joo-ho,SOK
1626,shin tae-yong,SOK
1627,son heung-min,SOK
1628,yeom ki-hun,SOK
1629,yun suk-young,SOK
1630,yun young-sun,SOK
1631,alvaro arbeloa,SPA
1632,alvaro odriozola,SPA
1633,andres iniesta,SPA
1634,carles puyol,SPA
1635,carlos marchena,SPA
1636,cesar azpilicueta,SPA
1637,cesc fàbregas,SPA
1638,dani carvajal,SPA
1639,david de gea,SPA
1640,david silva,SPA
1641,david villa,SPA
1642,diego costa,SPA
1643,fernando hierro,SPA
1644,fernando llorente,SPA
1645,fernando torres,SPA
1646,gerard pique,SPA
1647,iago aspas,SPA
1648,iker casillas,SPA
1649,isco,SPA
1650,javi martinez,SPA
1651,jesus navas,SPA
1652,joan capdevila,SPA
1653,jordi alba,SPA
1654,juan mata,SPA
1655,juanfran,SPA
1656,kepa arrizabalaga,SPA
1657,koke,SPA
1658,lucas vazquez,SPA
1659,marco asensio,SPA
1660,nacho fernandez,SPA
1661,nacho monreal,SPA
1662,pedro rodriguez,SPA
1663,pepe reina,SPA
1664,raul albiol,SPA
1665,rodrigo,SPA
1666,santi cazorla,SPA
1667,saul ñiguez,SPA
1668,sergio busquets,SPA
1669,sergio ramos,SPA
1670,thiago alcantara,SPA
1671,vicente del bosque,SPA
1672,victor valdes,SPA
1673,xabi alonso,SPA
1674,xavi hernandez,SPA
1675,adem ljajić,SRB
1676,aleksandar kolarov,SRB
1677,aleksandar luković,SRB
1678,aleksandar mitrović,SRB
1679,aleksandar prijović,SRB
1680,andrija živković,SRB
1681,antonio rukavina,SRB
1682,anđelko đuričić,SRB
1683,bojan isailović,SRB
1684,branislav ivanović,SRB
1685,danko lazović,SRB
1686,dejan stanković,SRB
1687,dragan mrđa,SRB
1688,dušan tadić,SRB
1689,duško tošić,SRB
1690,filip kostić,SRB
1691,gojko kačar,SRB
1692,ivan obradović,SRB
1693,luka jović,SRB
1694,luka milivojević,SRB
1695,marko dmitrović,SRB
1696,marko grujić,SRB
1697,marko pantelić,SRB
1698,milan jovanović,SRB
1699,milan rodić,SRB
1700,miloš krasić,SRB
1701,miloš ninković,SRB
1702,miloš veljković,SRB
1703,mladen krstajić,SRB
1704,nemanja matić,SRB
1705,nemanja radonjić,SRB
1706,nemanja vidić,SRB
1707,nenad milijaš,SRB
1708,neven subotić,SRB
1709,nikola milenković,SRB
1710,nikola žigić,SRB
1711,predrag rajković,SRB
1712,radomir antić,SRB
1713,radosav petrović,SRB
1714,sergej milinković-savić,SRB
1715,uroš spajić,SRB
1716,vladimir stojković,SRB
1717,zdravko kuzmanović,SRB
1718,zoran tošić,SRB
1719,albin ekdal,SUE
1720,andreas granqvist,SUE
1721,emil forsberg,SUE
1722,emil krafth,SUE
1723,filip helander,SUE
1724,gustav svensson,SUE
1725,isaac kiese thelin,SUE
1726,janne andersson,SUE
1727,jimmy durmaz,SUE
1728,john guidetti,SUE
1729,karl-johan johnsson,SUE
1730,kristoffer nordfeldt,SUE
1731,ludwig augustinsson,SUE
1732,marcus berg,SUE
1733,marcus rohden,SUE
1734,martin olsson,SUE
1735,mikael lustig,SUE
1736,ola toivonen,SUE
1737,oscar hiljemark,SUE
1738,pontus jansson,SUE
1739,robin olsen,SUE
1740,sebastian larsson,SUE
1741,victor lindelof,SUE
1742,viktor claesson,SUE
1743,admir mehmedi,SWZ
1744,albert bunjaku,SWZ
1745,alexander frei,SWZ
1746,benjamin huggel,SWZ
1747,blaise nkufo,SWZ
1748,blerim džemaili,SWZ
1749,breel embolo,SWZ
1750,denis zakaria,SWZ
1751,diego benaglio,SWZ
1752,eren derdiyok,SWZ
1753,fabian schar,SWZ
1754,françois moubandje,SWZ
1755,gelson fernandes,SWZ
1756,gokhan inler,SWZ
1757,gokhan i̇nler,SWZ
1758,granit xhaka,SWZ
1759,hakan yakın,SWZ
1760,haris seferović,SWZ
1761,johan djourou,SWZ
1762,johnny leoni,SWZ
1763,josip drmić,SWZ
1764,ludovic magnin,SWZ
1765,manuel akanji,SWZ
1766,marco padalino,SWZ
1767,marco wolfli,SWZ
1768,mario eggimann,SWZ
1769,mario gavranović,SWZ
1770,michael lang,SWZ
1771,nico elvedi,SWZ
1772,ottmar hitzfeld,SWZ
1773,philippe senderos,SWZ
1774,pirmin schwegler,SWZ
1775,remo freuler,SWZ
1776,reto ziegler,SWZ
1777,ricardo rodriguez,SWZ
1778,roman burki,SWZ
1779,stephan lichtsteiner,SWZ
1780,stephane grichting,SWZ
1781,steve von bergen,SWZ
1782,steven zuber,SWZ
1783,tranquillo barnetta,SWZ
1784,valentin stocker,SWZ
1785,valon behrami,SWZ
1786,vladimir petković,SWZ
1787,xherdan shaqiri,SWZ
1788,yann sommer,SWZ
1789,yvon mvogo,SWZ
1790,ahmed khalil,TNZ
1791,ali maaloul,TNZ
1792,anice badri,TNZ
1793,aymen mathlouthi,TNZ
1794,bassem srarfi,TNZ
1795,dylan bronn,TNZ
1796,ellyes skhiri,TNZ
1797,fakhreddine ben youssef,TNZ
1798,farouk ben mustapha,TNZ
1799,ferjani sassi,TNZ
1800,ghailene chaalali,TNZ
1801,hamdi nagguez,TNZ
1802,mohamed amine ben amor,TNZ
1803,mouez hassen,TNZ
1804,nabil maaloul,TNZ
1805,naim sliti,TNZ
1806,oussama haddadi,TNZ
1807,rami bedoui,TNZ
1808,saber khalifa,TNZ
1809,saif-eddine khaoui,TNZ
1810,syam ben youssef,TNZ
1811,wahbi khazri,TNZ
1812,yassine meriah,TNZ
1813,yohan benalouane,TNZ
1814,abel hernandez,URU
1815,alvaro fernandez,URU
1816,alvaro gonzalez,URU
1817,alvaro pereira,URU
1818,andres scotti,URU
1819,carlos sanchez,URU
1820,christian stuani,URU
1821,cristian rodriguez,URU
1822,diego forlan,URU
1823,diego godin,URU
1824,diego laxalt,URU
1825,diego lugano,URU
1826,diego perez,URU
1827,edinson cavani,URU
1828,egidio arevalo rios,URU
1829,fernando muslera,URU
1830,gaston ramirez,URU
1831,gaston silva,URU
1832,giorgian de arrascaeta,URU
1833,guillermo varela,URU
1834,ignacio gonzalez,URU
1835,jonathan urretaviscaya,URU
1836,jorge fucile,URU
1837,jose gimenez,URU
1838,jose maria gimenez,URU
1839,juan castillo,URU
1840,lucas torreira,URU
1841,luis suarez,URU
1842,martin caceres,URU
1843,martin campaña,URU
1844,martin silva,URU
1845,matias vecino,URU
1846,mauricio victorino,URU
1847,maxi gomez,URU
1848,maximiliano pereira,URU
1849,nahitan nandez,URU
1850,nicolas lodeiro,URU
1851,oscar washington tabarez,URU
1852,rodrigo bentancur,URU
1853,rodrigo muñoz,URU
1854,sebastian abreu,URU
1855,sebastian coates,URU
1856,sebastian eguren,URU
1857,sebastian fernandez,URU
1858,walter gargano,URU
1859,alejandro bedoya,USA
1860,aron johannsson,USA
1861,benny feilhaber,USA
1862,bob bradley,USA
1863,brad davis,USA
1864,brad guzan,USA
1865,carlos bocanegra,USA
1866,clarence goodson,USA
1867,clint dempsey,USA
1868,damarcus beasley,USA
1869,deandre yedlin,USA
1870,edson buddle,USA
1871,fabian johnson,USA
1872,francisco torres,USA
1873,geoff cameron,USA
1874,graham zusi,USA
1875,herculez gomez,USA
1876,jay demerit,USA
1877,jermaine jones,USA
1878,john brooks,USA
1879,jonathan bornstein,USA
1880,jonathan spector,USA
1881,jozy altidore,USA
1882,julian green,USA
1883,jurgen klinsmann,USA
1884,kyle beckerman,USA
1885,landon donovan,USA
1886,marcus hahnemann,USA
1887,maurice edu,USA
1888,michael bradley,USA
1889,mikkel diskerud,USA
1890,nick rimando,USA
1891,oguchi onyewu,USA
1892,omar gonzalez,USA
1893,ricardo clark,USA
1894,robbie findley,USA
1895,steve cherundolo,USA
1896,stuart holden,USA
1897,tim chandler,USA
1898,tim howard,USA
1899,alexander kerzhakov,RUS
1900,alexander kokorin,RUS
1901,fabio capello,RUS