pais,codigo
Alemania,GER
Alemania Democratica,DDR
Angola,ANG
Arabia Saudita,ARA
Argelia,ALG
Argentina,ARG
Australia,AUS
Austria,AUT
Belgica,BEL
Bolivia,BOL
Bosnia y Herzegovina,BOS
Brasil,BRA
Bulgaria,BUL
Camerun,CAM
Canada,CAN
Catar,QAT
Chile,CHI
China,CHN
Colombia,COL
Corea del Norte,KPR
Corea del Sur,SOK
Costa de Marfil,IVC
Costa Rica,CRC
Croacia,CRO
Cuba,CUB
Dinamarca,DEN
Ecuador,ECU
Egipto,EGT
El Salvador,SLV
Emiratos Arabes Unidos,UAE
Escocia,SCO
Eslovaquia,SLK
Eslovenia,SLN
España,SPA
Estados Unidos,USA
Francia,FRA
Gales,WAL
Ghana,GHA
Grecia,GRE
Haiti,HAI
Honduras,HON
Hungria,HUN
Indonesia,IDN
Inglaterra,ENG
Irak,IRQ
Iran,IRA
Irlanda,IRL
Irlanda del Norte,NIR
Islandia,ISL
Israel,ISR
Italia,ITA
Jamaica,JAM
Japon,JAP
Kuwait,KUW
Marruecos,MAR
Mexico,MEX
Nigeria,NGR
Noruega,NOR
Nueva Zelanda,NZL
Paises Bajos,NED
Panama,PAN
Paraguay,PAR
Peru,PER
Polonia,POL
Portugal,POR
Republica Checa,CZE
Republica del congo,CGO
Rumania,ROU
Rusia,RUS
Senegal,SEN
Serbia,SRB
Siria,SYR
Sudafrica,SOA
Suecia,SUE
Suiza,SWZ
Togo,TOG
Trinidad y Tobago,TRI
Tunez,TNZ
Turquia,TUR
Ucrania,UKR
Uruguay,URU