Pais,GRUPO,Abreviatura,Confederacion,a単o
Argelia,C,ALG,CAF,2010
Argentina,B,ARG,CONMEBOL,2010
Australia,D,AUS,AFC,2010
Brasil,G,BRA,CONMEBOL,2010
Camerun,E,CAM,CAF,2010
Chile,H,CHI,CONMEBOL,2010
Dinamarca,E,DEN,UEFA,2010
Inglaterra,C,ENG,UEFA,2010
Francia,A,FRA,UEFA,2010
Alemania,D,GER,UEFA,2010
Ghana,D,GHA,CAF,2010
Grecia,B,GRE,UEFA,2010
Honduras,H,HON,CONCACAF,2010
Italia,F,ITA,UEFA,2010
Costa de Marfil,G,IVC,CAF,2010
Japon,E,JAP,AFC,2010
Corea del Norte,B,KPR,AFC,2010
Mexico,A,MEX,CONCACAF,2010
Paises Bajos,E,NED,UEFA,2010
Nigeria,B,NGR,CAF,2010
Nueva Zelanda,F,NZL,OFC,2010
Paraguay,F,PAR,CONMEBOL,2010
Portugal,G,POR,UEFA,2010
Eslovaquia,F,SLK,UEFA,2010
Eslovenia,C,SLN,UEFA,2010
Sudafrica,A,SOA,CAF,2010
Corea del Sur,B,SOK,AFC,2010
Espa単a,H,SPA,UEFA,2010
Serbia,D,SRB,UEFA,2010
Suiza,H,SWZ,UEFA,2010
Uruguay,A,URU,CONMEBOL,2010
Estados Unidos,C,USA,CONCACAF,2010
Argelia,H,ALG,CAF,2014
Argentina,F,ARG,CONMEBOL,2014
Australia,B,AUS,AFC,2014
Belgica,H,BEL,UEFA,2014
Bosnia-Herzegovina,F,BOS,UEFA,2014
Brasil,A,BRA,CONMEBOL,2014
Camerun,A,CAM,CAF,2014
Chile,B,CHI,CONMEBOL,2014
Colombia,C,COL,CONMEBOL,2014
Costa Rica,D,CRC,CONCACAF,2014
Croacia,A,CRO,UEFA,2014
Ecuador,E,ECU,CONMEBOL,2014
Inglaterra,D,ENG,UEFA,2014
Francia,E,FRA,UEFA,2014
Alemania,G,GER,UEFA,2014
Ghana,G,GHA,CAF,2014
Grecia,C,GRE,UEFA,2014
Honduras,E,HON,CONCACAF,2014
Iran,F,IRA,AFC,2014
Italia,D,ITA,UEFA,2014
Costa de Marfil,C,IVC,CAF,2014
Japon,C,JAP,AFC,2014
Mexico,A,MEX,CONCACAF,2014
Paises Bajos,B,NED,UEFA,2014
Nigeria,F,NGR,CAF,2014
Portugal,G,POR,UEFA,2014
Rusia,H,RUS,UEFA,2014
Corea del Sur,H,SOK,AFC,2014
Espa単a,B,SPA,UEFA,2014
Suiza,E,SWZ,EUFA,2014
Uruguay,D,URU,CONMEBOL,2014
Estados Unidos,G,USA,CONCACAF,2014
Arabia Saudita,A,ARA,AFC,2018
Argentina,D,ARG,CONMEBOL,2018
Australia,C,AUS,AFC,2018
Belgica,G,BEL,UEFA,2018
Brasil,E,BRA,CONMEBOL,2018
Colombia,H,COL,CONMEBOL,2018
Costa Rica,E,CRC,CONCACAF,2018
Croacia,D,CRO,UEA,2018
Dinamarca,C,DEN,EUFA,2018
Egipto,A,EGT,CAF,2018
Inglaterra,G,ENG,UEFA,2018
Francia,C,FRA,UEFA,2018
Alemania,F,GER,UEFA,2018
Iran,B,IRA,AFC,2018
Islandia,D,ISL,UEFA,2018
Japon,H,JAP,AFC,2018
Marruecos,B,MAR,CAF,2018
Mexico,F,MEX,CONCAF,2018
Nigeria,D,NGR,CAF,2018
Panama,G,PAN,CONCACAF,2018
Peru,C,PER,CONMEBOL,2018
Polonia,H,POL,UEFA,2018
Portugal,B,POR,UEFA,2018
Rusia,A,RUS,UEFA,2018
Senegal,H,SEN,CAF,2018
Corea del Sur,F,SOK,AFC,2018
Espa単a,B,SPA,CONMEBOL,2018
Serbia,E,SRB,UEFA,2018
Suecia,F,SUE,UEFA,2018
Suiza,E,SWZ,UEFA,2018
Tunez,G,TNZ,CAF,2018
Uruguay,A,URU,CONMEBOL,2018