id,dia,mes,año,dia_semana,fecha_equivalente
1,11,6,2010,viernes,11/06/2010
2,12,6,2010,sábado,12/06/2010
3,13,6,2010,domingo,13/06/2010
4,14,6,2010,lunes,14/06/2010
5,15,6,2010,martes,15/06/2010
6,16,6,2010,miércoles,16/06/2010
7,17,6,2010,jueves,17/06/2010
8,18,6,2010,viernes,18/06/2010
9,19,6,2010,sábado,19/06/2010
10,20,6,2010,domingo,20/06/2010
11,21,6,2010,lunes,21/06/2010
12,22,6,2010,martes,22/06/2010
13,23,6,2010,miércoles,23/06/2010
14,24,6,2010,jueves,24/06/2010
15,25,6,2010,viernes,25/06/2010
16,26,6,2010,sábado,26/06/2010
17,27,6,2010,domingo,27/06/2010
18,28,6,2010,lunes,28/06/2010
19,29,6,2010,martes,29/06/2010
20,30,6,2010,miércoles,30/06/2010
21,1,7,2010,jueves,01/07/2010
22,2,7,2010,viernes,02/07/2010
23,3,7,2010,sábado,03/07/2010
24,4,7,2010,domingo,04/07/2010
25,5,7,2010,lunes,05/07/2010
26,6,7,2010,martes,06/07/2010
27,7,7,2010,miércoles,07/07/2010
28,8,7,2010,jueves,08/07/2010
29,9,7,2010,viernes,09/07/2010
30,10,7,2010,sábado,10/07/2010
31,11,7,2010,domingo,11/07/2010
32,12,6,2014,jueves,12/06/2014
33,13,6,2014,viernes,13/06/2014
34,14,6,2014,sábado,14/06/2014
35,15,6,2014,domingo,15/06/2014
36,16,6,2014,lunes,16/06/2014
37,17,6,2014,martes,17/06/2014
38,18,6,2014,miércoles,18/06/2014
39,19,6,2014,jueves,19/06/2014
40,20,6,2014,viernes,20/06/2014
41,21,6,2014,sábado,21/06/2014
42,22,6,2014,domingo,22/06/2014
43,23,6,2014,lunes,23/06/2014
44,24,6,2014,martes,24/06/2014
45,25,6,2014,miércoles,25/06/2014
46,26,6,2014,jueves,26/06/2014
47,27,6,2014,viernes,27/06/2014
48,28,6,2014,sábado,28/06/2014
49,29,6,2014,domingo,29/06/2014
50,30,6,2014,lunes,30/06/2014
51,1,7,2014,martes,01/07/2014
52,2,7,2014,miércoles,02/07/2014
53,3,7,2014,jueves,03/07/2014
54,4,7,2014,viernes,04/07/2014
55,5,7,2014,sábado,05/07/2014
56,6,7,2014,domingo,06/07/2014
57,7,7,2014,lunes,07/07/2014
58,8,7,2014,martes,08/07/2014
59,9,7,2014,miércoles,09/07/2014
60,10,7,2014,jueves,10/07/2014
61,11,7,2014,viernes,11/07/2014
62,12,7,2014,sábado,12/07/2014
63,13,7,2014,domingo,13/07/2014
64,14,6,2018,jueves,14/06/2018
65,15,6,2018,viernes,15/06/2018
66,16,6,2018,sábado,16/06/2018
67,17,6,2018,domingo,17/06/2018
68,18,6,2018,lunes,18/06/2018
69,19,6,2018,martes,19/06/2018
70,20,6,2018,miércoles,20/06/2018
71,21,6,2018,jueves,21/06/2018
72,22,6,2018,viernes,22/06/2018
73,23,6,2018,sábado,23/06/2018
74,24,6,2018,domingo,24/06/2018
75,25,6,2018,lunes,25/06/2018
76,26,6,2018,martes,26/06/2018
77,27,6,2018,miércoles,27/06/2018
78,28,6,2018,jueves,28/06/2018
79,29,6,2018,viernes,29/06/2018
80,30,6,2018,sábado,30/06/2018
81,1,7,2018,domingo,01/07/2018
82,2,7,2018,lunes,02/07/2018
83,3,7,2018,martes,03/07/2018
84,4,7,2018,miércoles,04/07/2018
85,5,7,2018,jueves,05/07/2018
86,6,7,2018,viernes,06/07/2018
87,7,7,2018,sábado,07/07/2018
88,8,7,2018,domingo,08/07/2018
89,9,7,2018,lunes,09/07/2018
90,10,7,2018,martes,10/07/2018
91,11,7,2018,miércoles,11/07/2018
92,12,7,2018,jueves,12/07/2018
93,13,7,2018,viernes,13/07/2018
94,14,7,2018,sábado,14/07/2018
95,15,7,2018,domingo,15/07/2018